City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Shagonar,RU,51.5333,92.8,51.85,59,0,1.3,clear sky
197,Battle Creek,US,42.3212,-85.1797,89.96,58,0,10.36,clear sky
198,Nikolskoye,RU,59.7035,30.7861,60.8,95,100,7.18,overcast clouds
199,Bon Accord,CA,53.8335,-113.4187,74.62,53,88,8.52,overcast clouds
200,Barbosa Ferraz,BR,-24.03,-52.0117,69.78,65,100,3.78,overcast clouds
201,Palana,RU,59.1167,159.9667,54.9,75,10,12.88,clear sky
202,Bilibino,RU,68.0546,166.4372,55.78,56,61,20.2,light rain
203,Arawa,PG,-6.2132,155.5367,84.88,67,100,3.87,overcast clouds
204,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,87,19,5.97,few clouds
205,Pouebo,NC,-20.4,164.5667,78.73,72,36,4.34,scattered clouds
206,Belmonte,BR,-15.8631,-38.8828,72.52,87,4,8.14,clear sky
207,Maun,BW,-19.9833,23.4167,57.16,58,0,2.3,clear sky
208,Nouadhibou,MR,20.931,-17.0347,75.18,88,75,11.5,broken clouds
209,Beisfjord,NO,68.3751,17.5988,54.05,87,94,3.49,overcast clouds
210,Bayji,IQ,34.9311,43.487,97.97,20,0,10.76,clear sky
211,Lucapa,AO,-8.4192,20.7447,68.81,30,21,3.29,few clouds
212,Upernavik,GL,72.7868,-56.1549,39.4,95,83,13.96,broken clouds
213,Baoning,CN,25.3378,110.026,75.06,100,0,2.24,clear sky
214,Camacha,PT,33.0833,-16.3333,67.42,73,40,10.36,scattered clouds
215,Esperance,AU,-33.8667,121.9,50.94,71,12,16.02,few clouds
216,Rio Grande,BR,-32.035,-52.0986,50.95,82,100,7.23,overcast clouds
217,Kangaatsiaq,GL,68.3065,-53.4641,41.29,95,100,9.91,overcast clouds
218,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,40,8.05,light rain
219,Flinders,AU,-34.5833,150.8552,54.18,71,9,7.0,clear sky
220,Lompoc,US,34.6391,-120.4579,85.69,66,0,18.41,clear sky
221,Shimoda,JP,34.6667,138.95,76.1,83,71,5.06,broken clouds
222,Chebenki,RU,51.9337,55.7077,67.78,56,7,5.06,clear sky
223,Jurilovca,RO,44.7667,28.8667,72.03,65,0,8.84,clear sky
224,Samana,DO,19.2056,-69.3369,82.36,86,100,8.75,overcast clouds
225,Husavik,IS,66.0449,-17.3389,53.01,79,90,1.25,overcast clouds
226,Severo-Kurilsk,RU,50.6789,156.125,55.08,79,100,8.3,overcast clouds
227,Keflavik,IS,64.0049,-22.5624,51.71,93,100,10.36,mist
228,Richards Bay,ZA,-28.783,32.0377,67.12,85,95,3.87,overcast clouds
229,Carberry,CA,49.8689,-99.3602,64.63,54,100,2.68,overcast clouds
230,Bay Roberts,CA,47.5999,-53.2648,67.75,79,73,1.01,broken clouds
231,Jumla,NP,29.2747,82.1838,62.04,97,100,2.28,overcast clouds
232,Lujan,AR,-34.5703,-59.105,55.11,63,97,8.7,overcast clouds
233,Kaeo,NZ,-35.1,173.7833,59.32,96,100,10.49,moderate rain
234,Tahta,EG,26.7693,31.5021,86.54,26,46,7.38,scattered clouds
235,Mount Gambier,AU,-37.8333,140.7667,46.92,83,90,3.8,overcast clouds
236,Bac Lieu,VN,9.285,105.7244,76.89,88,93,15.26,overcast clouds
237,Zhuanghe,CN,39.7008,122.9911,76.53,96,97,4.88,moderate rain
238,Villa Corzo,MX,16.1667,-93.25,76.95,90,83,2.57,broken clouds
239,San Vicente,AR,-26.6167,-54.1333,51.01,99,100,3.42,light rain
240,Kati,ML,12.7441,-8.0726,78.21,85,93,6.15,overcast clouds
241,Sept-Iles,CA,50.2001,-66.3821,63.12,80,75,13.8,broken clouds
242,Wanaka,NZ,-44.7,169.15,42.12,85,100,3.0,light rain
243,Tongchuan,CN,35.0806,109.0897,81.32,71,74,1.19,broken clouds
244,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.3,76,79,9.01,broken clouds
245,Faanui,PF,-16.4833,-151.75,78.3,73,72,26.02,light rain
246,Botad,IN,22.1667,71.6667,80.53,86,90,9.04,overcast clouds
247,Nioro,GM,13.35,-15.75,75.65,94,100,6.08,overcast clouds
248,Fairbanks,US,64.8378,-147.7164,59.02,77,75,8.05,broken clouds
249,Cacador,BR,-26.7753,-51.015,53.46,99,100,3.67,light rain
250,Ilhabela,BR,-23.7781,-45.3581,66.22,86,100,8.86,overcast clouds
251,Calais,FR,50.9167,1.8333,60.82,70,33,9.53,scattered clouds
252,Verkhniy Landekh,RU,56.8389,42.5994,63.99,78,4,5.53,clear sky
253,Yumen,CN,40.2833,97.2,74.98,29,100,8.52,overcast clouds
254,Port Macquarie,AU,-31.4333,152.9167,52.9,52,0,7.11,clear sky
255,Sal Rei,CV,16.1833,-22.9167,78.22,90,96,12.97,overcast clouds
256,Nanortalik,GL,60.1432,-45.2371,44.42,92,100,7.54,overcast clouds
257,Mingguang,CN,32.7802,117.9638,83.41,78,98,5.84,overcast clouds
258,Arraial Do Cabo,BR,-22.9661,-42.0278,69.57,71,100,9.69,overcast clouds
259,Hirado,JP,33.3597,129.5531,81.39,83,40,6.02,moderate rain
260,Tikhvin,RU,59.6451,33.5294,55.47,93,100,5.75,moderate rain
261,Ekhabi,RU,53.5102,142.9671,53.82,96,100,19.71,overcast clouds
262,Leshukonskoye,RU,64.8989,45.7622,66.72,69,0,7.85,clear sky
263,Katsuura,JP,35.1333,140.3,78.82,83,72,7.49,broken clouds
264,Flin Flon,CA,54.7682,-101.865,71.44,46,75,11.5,broken clouds
265,Vestmannaeyjar,IS,63.4427,-20.2734,52.34,88,100,11.16,overcast clouds
266,San Quintin,MX,30.4833,-115.95,75.4,73,89,16.55,overcast clouds
267,Santa Maria,BR,-29.6842,-53.8069,52.9,82,100,9.22,moderate rain
268,Guerrero Negro,MX,27.9769,-114.0611,78.6,68,75,17.9,broken clouds
269,Nouakchott,MR,18.0858,-15.9785,82.33,84,39,17.02,scattered clouds
270,Larsnes,NO,62.2028,5.5773,53.42,83,21,7.2,few clouds
271,Jardim De Piranhas,BR,-6.3786,-37.3519,79.74,56,15,20.18,few clouds
